timestamp,heart_rate,systolic_bp,diastolic_bp,oxygen_sat,temperature
02:06:26,70,123,83,98,36.6
02:06:27,65,116,78,99,36.6
02:06:28,77,112,73,99,36.8
02:06:29,81,111,83,96,36.7
02:06:30,78,125,81,97,36.9
02:06:31,81,116,77,96,36.6
02:06:32,76,117,74,98,36.8
02:06:33,75,121,76,98,37.2
02:06:34,61,128,87,96,36.9
02:06:35,85,130,83,96,36.8
02:06:36,68,121,76,97,36.5
02:06:37,86,109,77,95,37.4
02:06:38,65,123,76,97,37.1
02:06:39,85,112,80,97,36.7
02:06:40,61,132,77,95,36.9
02:06:41,74,112,71,99,36.7
02:06:42,83,130,75,96,36.7
02:06:43,69,121,84,99,36.5
02:06:44,67,108,89,94,37.1
02:06:45,81,118,74,97,36.8
02:06:46,86,117,77,95,36.3
02:06:47,91,132,87,94,36.9
02:06:48,76,121,79,96,36.7
02:06:49,83,111,73,96,36.7
02:06:50,68,125,73,98,36.7
02:06:51,73,114,82,99,36.6
02:06:52,85,120,81,98,37.1
02:06:53,66,118,76,98,36.8
02:06:54,77,119,73,99,36.9
02:06:55,65,127,74,96,37.2
02:06:56,78,120,82,99,37.0
02:06:57,74,112,82,96,36.7
02:06:58,80,127,65,96,37.2
02:06:59,81,115,74,98,36.7
02:07:00,96,129,78,96,36.9
02:07:01,80,128,70,97,36.9
02:07:02,68,130,71,97,37.1
02:07:03,66,122,74,96,36.5
02:07:04,92,104,82,94,37.4
02:07:05,71,123,70,97,38.3
02:07:06,80,131,83,95,36.3
02:07:07,64,103,65,95,37.4
02:07:08,82,127,80,99,37.0
02:07:09,83,124,70,98,36.5
02:07:10,81,111,75,96,36.9
02:07:11,66,130,71,98,37.2
02:07:12,79,130,77,96,36.7
02:07:13,75,115,82,97,36.9
02:07:14,80,119,82,97,37.0
02:07:15,81,122,70,99,37.2
02:07:16,72,116,81,96,37.1
02:07:17,75,140,70,96,36.4
02:07:18,71,117,84,97,36.9
02:07:19,85,118,72,91,36.6
02:07:20,78,119,74,96,36.9
02:07:21,78,123,75,98,37.1
02:07:22,78,120,85,98,36.7
02:07:23,85,120,79,99,36.7
02:07:24,76,115,74,99,36.7
02:07:25,79,120,85,99,36.8
02:07:26,72,115,72,98,36.7
02:07:27,67,130,71,96,37.2
02:07:28,65,130,83,96,37.1
02:07:29,81,120,73,98,37.1
02:07:30,67,115,77,99,36.7
02:07:31,82,123,76,99,37.0
02:07:32,70,121,73,97,36.8
02:07:33,80,124,70,99,37.1
02:07:34,70,112,80,99,36.6
02:07:35,66,128,82,96,36.9
02:07:36,75,122,76,98,36.6
02:07:37,70,121,84,99,37.1
02:07:38,63,137,90,94,37.4
02:07:39,71,130,90,94,36.4
02:07:40,66,127,72,96,36.6
02:07:41,79,129,74,98,37.1
02:07:42,76,127,81,99,36.9
02:07:43,84,125,76,98,37.0
02:07:44,73,119,78,96,36.9
02:07:45,67,130,78,99,37.1
02:07:46,69,127,84,96,37.2
02:07:47,70,123,74,98,37.1
02:07:48,66,113,79,96,36.8
02:07:49,84,122,74,98,37.1
02:07:50,65,129,75,99,36.7
02:07:51,65,110,76,99,36.7
02:07:52,76,128,81,98,36.9
02:07:53,75,126,72,99,37.0
02:07:54,67,127,71,99,36.6
02:07:55,80,126,72,96,37.1
02:07:56,79,118,82,97,36.8
02:07:57,68,128,82,96,36.6
02:07:58,84,127,79,96,36.6
02:07:59,78,123,73,99,37.0
02:08:00,100,129,86,94,37.0
02:08:01,71,119,74,96,36.9
02:08:02,84,130,73,96,36.8
02:08:03,65,116,73,99,36.9
